,,,,,,,,,（人）,,,（人）,,,（人）,,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,（人）,,,（人）,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,
,,,,,,,,,計,男,女,計,男,女,計,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,計,男,女,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,
00200,            ,            ,  ,,138,,584,鮮魚小売業,"47,126","24,397","22,729","45,241","23,617","21,624","26,651","14,135","12,516","2,401","1,040","23,210","11,734","11,476","7,944","2,653","3,790","8,823",496,629,41,27,64,13,14,30,"9,102","18,590","9,482","9,108","6,364","1,216",713,"3,079","7,218","2,405","4,813","1,762","2,812",643,"2,001",260,457,18,6,4,2,1,7,"2,203",
00200,            ,            ,  ,,139,,585,酒小売業,"83,962","43,453","40,509","81,231","42,122","39,109","41,601","23,063","18,538","7,128","3,918","30,555","15,935","14,620","9,081","4,690","6,854","9,930",928,961,94,45,145,69,115,51,"11,997","39,630","19,059","20,571","13,347","5,498","2,261","8,306","10,218","3,451","6,767","2,580","4,881",871,"1,886",261,379,32,23,6,6,2,2,"2,373",
00200,            ,            ,  ,,140,,586,菓子・パン小売業,"291,038","75,440","215,598","274,158","72,753","201,405","202,566","45,805","156,761","8,535","5,173","188,858","37,270","151,588","22,158","32,611","15,112","118,977","1,850","11,150",226,427,207,329,62,584,"87,781","71,592","26,948","44,644","17,062","6,946","2,225","8,308","37,051","7,661","29,390","5,116","11,118","2,545","18,272",823,"2,604",38,68,5,8,4,13,"14,869",
00200,            ,            ,  ,,141,,5861,菓子小売業(製造小売),"120,349","36,871","83,478","113,306","35,475","77,831","73,455","18,983","54,472","5,366","3,317","64,772","13,617","51,155","9,691","16,793","3,926","34,362",779,"3,704",51,132,40,96,32,233,"26,485","39,851","16,492","23,359","10,390","2,252","1,243","4,591","21,375","4,859","16,516","3,668","7,774","1,191","8,742",619,"1,777",23,40,-,1,-,8,"7,433",
00200,            ,            ,  ,,142,,5862,菓子小売業(製造小売でないもの),"66,591","12,600","53,991","62,390","12,038","50,352","50,328","8,243","42,085","1,276",758,"48,294","6,967","41,327","4,054","9,658","2,913","31,669",508,"3,063",162,269,120,198,27,333,"23,316","12,062","3,795","8,267","2,619","3,392",554,"1,964","3,533",622,"2,911",325,892,297,"2,019",71,314,7,6,2,2,3,4,"1,657",
00200,            ,            ,  ,,143,,5863,パン小売業(製造小売),"97,046","24,277","72,769","91,646","23,585","68,061","73,959","17,519","56,440","1,777","1,012","71,170","15,742","55,428","8,155","5,758","7,587","49,670",537,"4,236",13,26,44,35,3,10,"35,397","17,687","6,066","11,621","3,670",776,333,"1,482","11,426","2,063","9,363","1,058","2,275","1,005","7,088",126,469,8,22,2,5,1,1,"5,403",
00200,            ,            ,  ,,144,,5864,パン小売業(製造小売でないもの),"7,052","1,692","5,360","6,816","1,655","5,161","4,824","1,060","3,764",116,86,"4,622",944,"3,678",258,402,686,"3,276",26,147,-,-,3,-,-,8,"2,583","1,992",595,"1,397",383,526,95,271,717,117,600,65,177,52,423,7,44,-,-,1,-,-,-,376,
00200,            ,            ,  ,,145,,589,その他の飲食料品小売業,"1,116,322","426,740","689,582","1,050,827","402,910","647,917","770,039","277,022","493,017","23,285","13,956","732,798","253,737","479,061","68,394","39,259","185,343","439,802","17,624","31,573",656,571,891,579,538,"1,668","387,967","280,788","125,888","154,900","36,850","13,434","4,495","17,227","208,782","84,543","124,239","10,640","17,677","73,903","106,562","5,662","8,580",335,287,49,85,57,38,"108,556",
00200,            ,            ,  ,,146,,5891,コンビニエンスストア(飲食料品を中心とするものに限る),"524,390","237,117","287,273","498,310","225,434","272,876","314,804","141,817","172,987","10,517","6,639","297,648","131,300","166,348","16,694","8,588","114,606","157,760","7,682","9,258",407,297,249,113,136,143,"158,091","183,506","83,617","99,889","10,832","1,161",666,"3,195","167,652","72,119","95,533","5,486","6,800","66,633","88,733","4,207","5,331",243,222,36,53,23,18,"90,633",
00200,            ,            ,  ,,147,,5892,牛乳小売業,"32,182","15,265","16,917","30,127","14,160","15,967","19,081","8,042","11,039","1,000",552,"17,529","7,042","10,487","2,718","1,070","4,324","9,417",849,725,12,3,23,6,59,23,"8,576","11,046","6,118","4,928","3,417",677,418,"1,413","5,121","2,283","2,838",757,"1,238","1,526","1,600",179,195,15,5,1,-,21,9,"2,126",
00200,            ,            ,  ,,148,,5893,飲料小売業(別掲を除く),"40,077","12,283","27,794","38,637","11,828","26,809","26,438","7,220","19,218","1,041",594,"24,803","6,179","18,624","2,328","1,946","3,851","16,678",319,737,43,100,81,56,16,61,"13,010","12,199","4,608","7,591","3,050","3,148",645,"2,131","3,225",913,"2,312",319,874,594,"1,438",90,225,9,4,1,8,-,2,"1,470",
00200,            ,            ,  ,,149,,5894,茶類小売業,"20,215","6,895","13,320","18,771","6,592","12,179","10,711","3,025","7,686","1,168",745,"8,798","1,857","6,941","1,187","1,818",670,"5,123",138,532,5,35,2,9,5,26,"4,292","8,060","3,567","4,493","2,643","1,318",357,"1,360","2,382",567,"1,815",383,973,184,842,167,612,6,8,1,3,1,2,837,
00200,            ,            ,  ,,150,,5895,料理品小売業,"162,660","51,044","111,616","152,149","48,179","103,970","125,543","38,012","87,531","2,674","1,800","121,069","35,338","85,731","12,282","7,990","23,056","77,741","2,226","5,863",47,18,111,104,120,549,"64,921","26,606","10,167","16,439","4,418","2,201",691,"2,192","17,104","5,058","12,046","1,410","2,786","3,648","9,260",475,"1,159",27,21,5,9,2,1,"8,811",
00200,            ,            ,  ,,151,,5896,米穀類小売業,"26,278","13,430","12,848","25,210","12,926","12,284","10,242","5,280","4,962","2,401","1,155","6,686","2,879","3,807","1,984","1,388",895,"2,419",241,277,7,9,10,5,4,6,"2,538","14,968","7,646","7,322","5,748","1,389",672,"3,124","4,035","1,226","2,809",902,"1,958",324,851,255,276,9,3,2,10,8,2,987,
00200,            ,            ,  ,,152,,5897,豆腐・かまぼこ等加工食品小売業,"23,435","7,494","15,941","22,375","7,211","15,164","15,636","4,162","11,474",749,438,"14,449","3,413","11,036","1,758","2,424","1,655","8,612",154,507,15,14,93,55,3,63,"6,982","6,739","3,049","3,690","2,098",698,299,"1,109","2,535",652,"1,883",445,"1,076",207,807,52,178,5,13,1,-,-,1,835,
00200,            ,            ,  ,,153,,5898,乾物小売業,"17,591","5,380","12,211","16,937","5,191","11,746","14,014","3,992","10,022",567,314,"13,133","3,425","9,708","1,843","1,178","1,582","8,530",130,341,6,9,12,6,6,5,"8,982","2,923","1,199","1,724",843,467,141,457,"1,015",215,800,160,374,55,426,48,125,1,4,-,1,-,-,395,
00200,            ,            ,  ,,154,,5899,他に分類されない飲食料品小売業,"269,494","77,832","191,662","248,311","71,389","176,922","233,570","65,472","168,098","3,168","1,719","228,683","62,304","166,379","27,600","12,857","34,704","153,522","5,885","13,333",114,86,310,225,189,792,"120,575","14,741","5,917","8,824","3,801","2,375",606,"2,246","5,713","1,510","4,203",778,"1,598",732,"2,605",189,479,20,7,2,1,2,3,"2,462",
00200,            ,            ,  ,,155,,59,機械器具小売業,"693,054","506,030","187,024","672,800","494,020","178,780","583,821","435,674","148,147","43,440","16,640","523,741","392,234","131,507","347,489","74,876","44,745","56,631","6,039","3,125",980,161,"2,860",796,"2,297","3,977","82,566","88,979","58,346","30,633","38,901","1,300","2,668","11,590","34,520","16,777","17,743","13,992","13,820","2,785","3,923","1,817",525,80,31,40,9,17,4,"6,155",
00200,            ,            ,  ,,156,,591,自動車小売業,"430,571","346,406","84,165","422,609","340,969","81,640","380,203","311,697","68,506","28,773","10,665","340,765","282,924","57,841","266,240","39,557","16,684","18,284","3,703","1,180",784,99,"1,360",157,493,"1,086","30,349","42,406","29,272","13,134","17,547",360,"1,155","4,346","18,998","10,570","8,428","8,985","6,590","1,585","1,838",662,211,36,17,27,4,12,3,"3,170",
00200,            ,            ,  ,,157,,5911,自動車(新車)小売業,"283,556","234,053","49,503","279,111","231,211","47,900","264,844","221,712","43,132","13,925","5,231","245,688","207,787","37,901","199,327","28,003","8,460","9,898","2,141",597,617,71,846,109,298,881,"16,473","14,267","9,499","4,768","4,947",100,325,"1,224","7,671","4,227","3,444","3,765","2,782",462,662,179,92,13,9,7,3,1,1,"1,052",
00200,            ,            ,  ,,158,,5912,中古自動車小売業,"73,140","55,308","17,832","71,393","54,081","17,312","59,403","45,599","13,804","8,989","3,292","47,122","36,610","10,512","32,908","6,756","3,702","3,756",789,292,100,24,181,20,95,161,"6,471","11,990","8,482","3,508","5,077",108,290,"1,131","5,384","3,115","2,269","2,499","1,614",616,655,247,72,10,4,14,1,11,2,"1,166",
00200,            ,            ,  ,,159,,5913,自動車部分品・附属品小売業,"50,811","39,650","11,161","49,510","38,648","10,862","43,061","34,070","8,991","3,786","1,349","37,926","30,284","7,642","26,515","3,785","3,769","3,857",594,221,49,4,225,18,96,42,"6,114","6,449","4,578","1,871","2,795",57,201,674,"2,722","1,582","1,140","1,346",899,236,241,140,23,6,1,2,-,-,-,443,
00200,            ,            ,  ,,160,,5914,二輪自動車小売業(原動機付自転車を含む),"23,064","17,395","5,669","22,595","17,029","5,566","12,895","10,316","2,579","2,073",793,"10,029","8,243","1,786","7,490","1,013",753,773,179,70,18,-,108,10,4,2,"1,291","9,700","6,713","2,987","4,728",95,339,"1,317","3,221","1,646","1,575","1,375","1,295",271,280,96,24,7,3,4,-,-,-,509,
00200,            ,            ,  ,,161,,592,自転車小売業,"21,903","15,962","5,941","21,416","15,581","5,835","9,433","7,431","2,002","1,063",391,"7,979","6,368","1,611","3,911",603,"2,457","1,008",234,60,7,-,71,6,7,3,"2,539","11,983","8,150","3,833","6,636",317,442,"1,964","2,624","1,072","1,552",875,"1,309",197,243,79,38,9,2,4,1,2,-,418,
00200,            ,            ,  ,,162,,593,機械器具小売業(自動車，自転車を除く),"240,580","143,662","96,918","228,775","137,470","91,305","194,185","116,546","77,639","13,604","5,584","174,997","102,942","72,055","77,338","34,716","25,604","37,339","2,102","1,885",189,62,"1,429",633,"1,797","2,888","49,678","34,590","20,924","13,666","14,718",623,"1,071","5,280","12,898","5,135","7,763","4,132","5,921","1,003","1,842","1,076",276,35,12,9,4,3,1,"2,567",
00200,            ,            ,  ,,163,,5931,電気機械器具小売業(中古品を除く),"195,207","112,994","82,213","185,391","108,087","77,304","155,288","90,014","65,274","10,198","4,293","140,797","79,816","60,981","58,623","28,203","21,193","32,778","1,545","1,513",86,27,892,525,"1,640","2,679","43,254","30,103","18,073","12,030","12,847",503,888,"4,690","11,175","4,338","6,837","3,542","5,321",796,"1,516",937,226,29,12,7,4,1,1,"2,113",
00200,            ,            ,  ,,164,,5932,電気事務機械器具小売業(中古品を除く),"14,787","10,098","4,689","14,077","9,672","4,405","13,381","9,229","4,152",903,364,"12,114","8,326","3,788","5,110","1,558","3,216","2,230",341,221,27,9,48,9,56,55,"3,502",696,443,253,306,8,26,102,254,111,143,87,98,24,45,11,8,4,-,-,-,1,-,59,
00200,            ,            ,  ,,165,,5933,中古電気製品小売業,"2,576","1,898",678,"2,474","1,822",652,"1,754","1,316",438,186,61,"1,507","1,130",377,802,139,328,238,22,10,3,3,16,6,2,-,457,720,506,214,282,30,34,82,292,190,102,93,45,97,57,39,13,-,-,-,-,-,-,123,
00200,            ,            ,  ,,166,,5939,その他の機械器具小売業,"28,010","18,672","9,338","26,833","17,889","8,944","23,762","15,987","7,775","2,317",866,"20,579","13,670","6,909","12,803","4,816",867,"2,093",194,141,73,23,473,93,99,154,"2,465","3,071","1,902","1,169","1,283",82,123,406,"1,177",496,681,410,457,86,224,89,29,2,-,2,-,1,-,272,
00200,            ,            ,  ,,167,,60,その他の小売業,"1,958,718","891,405","1,067,313","1,845,501","846,453","999,048","1,546,156","698,342","847,814","90,541","52,023","1,403,592","607,801","795,791","342,975","241,335","264,826","554,456","32,898","54,109","1,719","1,421","4,290","4,504","3,456","3,403","556,391","299,345","148,111","151,234","76,684","31,931","9,557","30,352","150,821","61,870","88,951","25,756","37,125","36,114","51,826","6,111","7,620",284,254,135,153,65,151,"54,650",
00200,            ,            ,  ,,168,,601,家具・建具・畳小売業,"61,373","35,371","26,002","59,605","34,331","25,274","40,582","21,563","19,019","5,124","2,380","33,078","16,439","16,639","13,185","7,757","3,254","8,882",569,531,37,36,56,25,9,30,"10,198","19,023","12,768","6,255","8,982",615,801,"2,544","6,081","2,985","3,096","2,533","2,362",452,734,449,182,17,13,3,1,8,8,"1,096",
00200,            ,            ,  ,,169,,6011,家具小売業,"32,910","17,005","15,905","31,948","16,477","15,471","27,726","14,010","13,716","2,699","1,264","23,763","11,311","12,452","8,593","5,332","2,718","7,120",363,344,13,16,44,23,3,18,"8,200","4,222","2,467","1,755","1,651",233,166,664,"1,508",650,858,524,608,126,250,132,74,9,11,1,-,7,2,339,
00200,            ,            ,  ,,170,,6012,建具小売業,"5,745","4,065","1,680","5,582","3,943","1,639","2,165","1,511",654,569,205,"1,391",942,449,844,272,98,177,62,19,4,-,6,-,3,5,233,"3,417","2,432",985,"1,816",38,133,519,911,483,428,416,349,67,79,58,13,3,2,-,1,-,5,139,
00200,            ,            ,  ,,171,,6013,畳小売業,"10,215","7,566","2,649","9,978","7,377","2,601","1,618","1,147",471,522,179,917,625,292,548,156,77,136,27,11,-,-,-,-,2,-,177,"8,360","6,230","2,130","4,494",86,371,943,"2,466","1,365","1,101","1,199",914,166,187,160,36,3,-,2,-,1,1,335,
00200,            ,            ,  ,,172,,6014,宗教用具小売業,"12,503","6,735","5,768","12,097","6,534","5,563","9,073","4,895","4,178","1,334",732,"7,007","3,561","3,446","3,200","1,997",361,"1,449",117,157,20,20,6,2,1,7,"1,588","3,024","1,639","1,385","1,021",258,131,418,"1,196",487,709,394,491,93,218,99,59,2,-,-,-,-,-,283,
00200,            ,            ,  ,,173,,602,じゅう器小売業,"35,161","15,819","19,342","34,188","15,500","18,688","20,904","8,938","11,966","3,128","1,664","16,112","5,810","10,302","4,289","3,548","1,521","6,754",156,361,22,14,31,27,26,84,"6,567","13,284","6,562","6,722","4,841","1,903",582,"2,411","3,547","1,139","2,408",900,"1,568",239,840,127,197,5,3,5,1,1,1,929,
00200,            ,            ,  ,,174,,6021,金物小売業,"14,872","8,220","6,652","14,599","8,092","6,507","8,923","4,947","3,976","1,699",804,"6,420","3,248","3,172","2,386","1,352",862,"1,820",76,93,12,2,9,5,4,5,"2,061","5,676","3,145","2,531","2,303",470,249,"1,039","1,615",593,"1,022",483,760,110,262,49,44,2,-,3,-,1,-,334,
00200,            ,            ,  ,,175,,6022,荒物小売業,"7,231","2,754","4,477","7,021","2,691","4,330","4,373","1,535","2,838",495,246,"3,632","1,040","2,592",693,629,347,"1,963",26,90,2,1,-,2,12,32,"1,914","2,648","1,156","1,492",875,538,124,497,614,157,457,112,268,45,189,27,23,1,-,1,1,-,-,194,
00200,            ,            ,  ,,176,,6023,陶磁器・ガラス器小売業,"10,193","3,637","6,556","9,766","3,524","6,242","5,572","1,622","3,950",681,465,"4,426",941,"3,485",731,"1,119",210,"2,366",49,150,2,6,18,17,5,41,"2,043","4,194","1,902","2,292","1,407",803,184,756,"1,044",311,733,236,414,75,319,44,115,2,3,1,-,-,-,337,
00200,            ,            ,  ,,177,,6029,他に分類されないじゅう器小売業,"2,865","1,208","1,657","2,802","1,193","1,609","2,036",834,"1,202",253,149,"1,634",581,"1,053",479,448,102,605,5,28,6,5,4,3,5,6,549,766,359,407,256,92,25,119,274,78,196,69,126,9,70,7,15,-,-,-,-,-,1,64,
00200,            ,            ,  ,,178,,603,医薬品・化粧品小売業,"472,966","113,082","359,884","447,875","107,937","339,938","405,828","97,550","308,278","18,559","15,640","371,629","78,991","292,638","53,784","124,225","25,207","168,413","4,129","15,539",291,589,876,"1,754",270,"1,509","141,286","42,047","10,387","31,660","6,778","9,232",903,"2,798","22,336","2,706","19,630","1,874","8,211",832,"11,419",167,"1,613",33,100,17,107,10,113,"9,161",
00200,            ,            ,  ,,179,,6031,ドラッグストア,"154,290","42,696","111,594","144,321","40,005","104,316","141,694","38,980","102,714","1,205",977,"139,512","37,775","101,737","19,989","18,335","17,786","83,402","2,415","6,920",9,14,243,225,26,102,"72,834","2,627","1,025","1,602",707,374,74,260,"1,212",244,968,167,484,77,484,15,38,1,-,2,3,-,4,464,
00200,            ,            ,  ,,180,,6032,医薬品小売業(調剤薬局を除く),"31,247","9,998","21,249","28,965","9,602","19,363","21,431","6,711","14,720","2,484","2,089","16,858","4,227","12,631","3,075","5,478","1,152","7,153",368,"1,744",30,42,13,35,9,40,"5,611","7,534","2,891","4,643","2,111","1,708",309,952,"2,454",471,"1,983",330,"1,132",141,851,41,113,10,13,4,5,1,4,817,
00200,            ,            ,  ,,181,,6033,調剤薬局,"230,533","51,610","178,923","222,611","50,076","172,535","208,685","46,050","162,635","13,237","10,357","185,091","32,813","152,278","28,051","88,995","4,762","63,283",887,"4,229",247,468,601,"1,300",218,969,"50,307","13,926","4,026","9,900","2,323","1,342",202,495,"9,564","1,501","8,063","1,073","3,388",428,"4,675",78,353,13,34,8,21,2,18,"3,670",
00200,            ,            ,  ,,182,,6034,化粧品小売業,"56,896","8,778","48,118","51,978","8,254","43,724","34,018","5,809","28,209","1,633","2,217","30,168","4,176","25,992","2,669","11,417","1,507","14,575",459,"2,646",5,65,19,194,17,398,"12,534","17,960","2,445","15,515","1,637","5,808",318,"1,091","9,106",490,"8,616",304,"3,207",186,"5,409",33,"1,109",9,53,3,78,7,87,"4,210",
00200,            ,            ,  ,,183,,604,農耕用品小売業,"53,529","35,922","17,607","51,199","34,546","16,653","41,837","29,197","12,640","3,527","1,523","36,787","25,670","11,117","22,207","5,947","3,463","5,170",885,627,51,14,119,20,42,85,"7,306","9,362","5,349","4,013","3,395",532,398,"1,360","3,677","1,556","2,121","1,272","1,470",284,651,378,241,5,5,6,-,2,-,808,
00200,            ,            ,  ,,184,,6041,農業用機械器具小売業,"27,294","20,503","6,791","26,561","19,953","6,608","22,181","17,099","5,082","2,002",793,"19,386","15,097","4,289","13,600","2,839","1,497","1,450",305,142,15,5,80,9,18,10,"2,542","4,380","2,854","1,526","1,784",65,186,572,"1,773",884,889,741,735,143,154,161,32,5,5,4,-,2,-,275,
00200,            ,            ,  ,,185,,6042,苗・種子小売業,"6,430","2,913","3,517","5,799","2,644","3,155","3,128","1,433","1,695",426,249,"2,453","1,007","1,446",719,536,288,910,165,169,4,-,4,2,5,9,906,"2,671","1,211","1,460",799,316,107,428,"1,021",305,716,223,346,82,370,97,182,-,-,2,-,-,-,372,
00200,            ,            ,  ,,186,,6043,肥料・飼料小売業,"19,805","12,506","7,299","18,839","11,949","6,890","16,528","10,665","5,863","1,099",481,"14,948","9,566","5,382","7,888","2,572","1,678","2,810",415,316,32,9,35,9,19,66,"3,858","2,311","1,284","1,027",812,151,105,360,883,367,516,308,389,59,127,120,27,-,-,-,-,-,-,161,
00200,            ,            ,  ,,187,,605,燃料小売業,"274,659","203,513","71,146","257,190","190,266","66,924","234,840","177,492","57,348","21,093","8,778","204,969","156,399","48,570","100,297","22,298","56,102","26,272","9,366","3,517",623,144,"1,775",239,"2,208",316,"61,016","22,350","12,774","9,576","6,848",794,852,"2,543","11,313","5,074","6,239","4,016","4,698","1,058","1,541",507,294,24,12,25,9,13,3,"2,229",
00200,            ,            ,  ,,188,,6051,ガソリンスタンド,"182,939","141,694","41,245","168,790","130,392","38,398","160,432","125,388","35,044","10,730","4,288","145,414","114,658","30,756","63,237","11,048","51,421","19,708","8,233","2,539",310,73,"1,004",122,"2,133",160,"51,777","8,358","5,004","3,354","2,258",251,276,770,"4,803","2,470","2,333","1,820","1,675",650,658,234,95,11,2,13,5,6,1,"1,080",
00200,            ,            ,  ,,189,,6052,燃料小売業(ガソリンスタンドを除く),"91,720","61,819","29,901","88,400","59,874","28,526","74,408","52,104","22,304","10,363","4,490","59,555","41,741","17,814","37,060","11,250","4,681","6,564","1,133",978,313,71,771,117,75,156,"9,239","13,992","7,770","6,222","4,590",543,576,"1,773","6,510","2,604","3,906","2,196","3,023",408,883,273,199,13,10,12,4,7,2,"1,149",
00200,            ,            ,  ,,190,,606,書籍・文房具小売業,"381,433","196,897","184,536","365,133","189,398","175,735","284,248","144,191","140,057","11,026","6,648","266,574","133,165","133,409","36,774","15,893","96,391","117,516","5,095","6,174",298,191,362,283,124,341,"114,200","80,885","45,207","35,678","8,691","2,996","1,157","3,123","64,918","35,359","29,559","5,993","5,026","29,366","24,533","2,236","2,214",75,36,44,9,11,7,"27,091",
00200,            ,            ,  ,,191,,6061,書籍・雑誌小売業(古本を除く),"83,911","29,767","54,144","79,128","27,795","51,333","73,113","25,088","48,025","2,358","1,261","69,494","22,730","46,764","7,563","5,592","15,167","41,172","1,569","2,406",46,41,146,118,10,43,"34,805","6,015","2,707","3,308","1,638",625,279,731,"2,742",790,"1,952",425,810,365,"1,142",300,285,8,4,1,3,-,1,"1,136",
00200,            ,            ,  ,,192,,6062,古本小売業,"10,565","6,026","4,539","9,944","5,675","4,269","8,582","4,843","3,739",194,95,"8,293","4,649","3,644","1,145",446,"3,504","3,198",322,248,1,3,12,4,-,-,"5,120","1,362",832,530,607,96,39,197,423,186,237,98,119,88,118,17,21,-,-,1,-,-,-,166,
00200,            ,            ,  ,,193,,6063,新聞小売業,"259,339","150,905","108,434","249,614","146,007","103,607","183,391","107,396","75,995","6,210","3,995","173,186","101,186","72,000","24,492","6,236","76,694","65,764","2,996","2,993",199,72,137,48,106,81,"67,944","66,223","38,611","27,612","4,309",876,507,"1,088","59,443","33,795","25,648","5,015","3,164","28,780","22,484","1,864","1,795",58,22,41,3,11,1,"24,990",
00200,            ,            ,  ,,194,,6064,紙・文房具小売業,"27,618","10,199","17,419","26,447","9,921","16,526","19,162","6,864","12,298","2,264","1,297","15,601","4,600","11,001","3,574","3,619","1,026","7,382",208,527,52,75,67,113,8,217,"6,331","7,285","3,057","4,228","2,137","1,399",332,"1,107","2,310",588,"1,722",455,933,133,789,55,113,9,10,1,3,-,5,799,
00200,            ,            ,  ,,195,,607,スポーツ用品・がん具・娯楽用品・楽器小売業,"108,319","57,763","50,556","102,552","55,213","47,339","87,893","46,841","41,052","5,015","2,252","80,626","41,826","38,800","20,643","8,114","21,183","30,686","2,097","2,628",49,26,86,54,126,244,"35,450","14,659","8,372","6,287","5,872","1,194",555,"2,066","4,972","1,945","3,027","1,347","1,916",598,"1,111",296,325,12,9,3,1,3,-,"1,426",
00200,            ,            ,  ,,196,,6071,スポーツ用品小売業,"66,830","37,574","29,256","64,712","36,562","28,150","55,441","31,274","24,167","3,064","1,315","51,062","28,210","22,852","14,302","4,404","13,908","18,448",764,825,27,11,66,18,45,89,"20,442","9,271","5,288","3,983","3,762",661,326,"1,374","3,148","1,200","1,948",870,"1,264",330,684,166,191,4,7,1,1,1,-,870,
00200,            ,            ,  ,,197,,6072,がん具・娯楽用品小売業,"28,364","13,620","14,744","25,179","12,238","12,941","21,445","10,171","11,274","1,130",589,"19,726","9,041","10,685","3,646","1,955","5,395","8,730","1,244","1,630",13,4,16,3,49,80,"11,245","3,734","2,067","1,667","1,453",454,173,506,"1,148",441,707,270,430,171,277,87,94,4,-,1,-,2,-,364,
00200,            ,            ,  ,,198,,6073,楽器小売業,"13,125","6,569","6,556","12,661","6,413","6,248","11,007","5,396","5,611",821,348,"9,838","4,575","5,263","2,695","1,755","1,880","3,508",89,173,9,11,4,33,32,75,"3,763","1,654","1,017",637,657,79,56,186,676,304,372,207,222,97,150,43,40,4,2,1,-,-,-,192,
00200,            ,            ,  ,,199,,608,写真機・時計・眼鏡小売業,"69,351","35,241","34,110","67,875","34,767","33,108","57,211","28,149","29,062","4,019","2,877","50,315","24,130","26,185","19,377","10,603","4,753","15,582",214,650,50,193,207,287,55,194,"16,136","10,664","6,618","4,046","5,161",447,352,"1,561","3,143","1,105","2,038",984,"1,558",121,480,50,58,9,5,6,8,1,3,553,
00200,            ,            ,  ,,200,,6081,写真機・写真材料小売業,"5,609","2,060","3,549","5,323","1,918","3,405","4,743","1,575","3,168",293,125,"4,325","1,282","3,043",770,424,512,"2,619",32,33,5,7,114,114,-,-,"1,910",580,343,237,250,35,38,91,166,55,111,50,69,5,42,1,4,-,-,-,-,-,-,41,
00200,            ,            ,  ,,201,,6082,時計・眼鏡・光学機械小売業,"63,742","33,181","30,561","62,552","32,849","29,703","52,468","26,574","25,894","3,726","2,752","45,990","22,848","23,142","18,607","10,179","4,241","12,963",182,617,45,186,93,173,55,194,"14,226","10,084","6,275","3,809","4,911",412,314,"1,470","2,977","1,050","1,927",934,"1,489",116,438,49,54,9,5,6,8,1,3,512,
00200,            ,            ,  ,,202,,609,他に分類されない小売業,"501,927","197,797","304,130","459,884","184,495","275,389","372,813","144,421","228,392","19,050","10,261","343,502","125,371","218,131","72,419","42,950","52,952","175,181","10,387","24,082",298,214,778,"1,815",596,600,"164,232","87,071","40,074","46,997","26,116","14,218","3,957","11,946","30,834","10,001","20,833","6,837","10,316","3,164","10,517","1,901","2,496",104,71,26,17,16,16,"11,357",
00200,            ,            ,  ,,203,,6091,ホームセンター,"166,494","57,083","109,411","145,308","49,869","95,439","145,167","49,821","95,346",183,90,"144,894","49,638","95,256","25,043","5,950","24,595","89,306","6,850","13,788",14,12,88,10,289,184,"80,514",141,48,93,19,4,3,7,108,26,82,15,15,11,67,1,2,-,-,-,-,-,-,47,
00200,            ,            ,  ,,204,,6092,たばこ・喫煙具専門小売業,"19,376","7,130","12,246","19,113","7,062","12,051","1,976",831,"1,145",483,426,"1,067",348,719,228,273,120,446,34,74,1,16,3,5,-,-,439,"17,137","6,231","10,906","4,562","6,310","1,323","3,226","1,716",346,"1,370",242,766,104,604,43,134,16,6,4,1,1,3,652,
00200,            ,            ,  ,,205,,6093,花・植木小売業,"58,582","21,033","37,549","54,223","19,971","34,252","29,478","10,107","19,371","3,520","2,333","23,625","6,587","17,038","5,020","6,191","1,567","10,847",449,"1,780",28,30,20,36,19,44,"9,633","24,745","9,864","14,881","6,027","3,029",872,"2,858","11,959","2,965","8,994","1,926","3,792","1,039","5,202",629,"1,490",29,31,1,5,1,3,"5,208",
00200,            ,            ,  ,,206,,6094,建築材料小売業,"15,678","10,450","5,228","15,297","10,178","5,119","10,779","7,249","3,530","2,354",965,"7,460","4,895","2,565","4,249","1,609",646,956,160,83,24,10,37,7,4,7,"1,312","4,518","2,929","1,589","1,902",133,182,648,"1,653",845,808,721,634,124,174,106,21,14,-,2,-,1,1,278,
00200,            ,            ,  ,,207,,6095,ジュエリー製品小売業,"26,154","7,571","18,583","24,559","7,421","17,138","20,713","5,589","15,124","1,802","1,167","17,744","3,787","13,957","3,211","8,046",576,"5,911",92,350,15,9,37,939,13,126,"5,620","3,846","1,832","2,014","1,282",459,111,441,"1,553",439,"1,114",337,679,102,435,27,50,5,15,-,1,1,3,468,
00200,            ,            ,  ,,208,,6096,ペット・ペット用品小売業,"13,656","4,535","9,121","13,259","4,430","8,829","9,824","2,814","7,010",479,302,"9,043","2,335","6,708","1,450","2,160",885,"4,548",62,174,2,3,15,63,5,1,"4,137","3,435","1,616","1,819","1,133",423,166,435,"1,278",317,961,213,490,104,471,29,57,4,1,-,-,-,1,485,
00200,            ,            ,  ,,209,,6097,骨とう品小売業,"3,968","2,185","1,783","3,828","2,115","1,713","1,498",761,737,360,203,935,401,534,294,266,107,268,27,33,9,5,2,2,2,2,302,"2,330","1,354",976,"1,017",249,119,360,585,218,367,159,215,59,152,51,40,3,2,-,-,-,-,187,
