,,,,,,,,,（人）,,,（人）,,,（人）,,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,（人）,,,（人）,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,
,,,,,,,,,計,男,女,計,男,女,計,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,計,男,女,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,
00200,            ,            ,  ,,20,,5139,その他の身の回り品卸売業,"40,234","18,342","21,892","38,761","17,945","20,816","37,630","17,346","20,284","3,431","1,314","32,885","13,915","18,970","12,528","10,847","1,387","8,123",403,861,210,250,135,66,54,330,"7,313","1,131",599,532,422,67,29,142,471,148,323,114,183,34,140,16,69,2,-,1,-,-,-,147,
00200,            ,            ,  ,,21,,52,飲食料品卸売業,"647,958","400,072","247,886","623,014","389,703","233,311","582,558","368,060","214,498","49,208","17,108","516,242","318,852","197,390","261,715","88,413","57,137","108,977","8,048","9,044","7,045","1,602","6,419","2,021","1,680","3,865","120,783","40,456","21,643","18,813","11,463","1,625","1,372","4,659","21,337","8,808","12,529","5,740","6,672","3,068","5,857","1,243","1,241",30,26,24,13,30,19,"7,059",
00200,            ,            ,  ,,22,,521,農畜産物・水産物卸売業,"314,837","200,035","114,802","304,479","195,393","109,086","280,023","181,898","98,125","29,176","9,415","241,432","152,722","88,710","118,669","37,262","34,053","51,448","4,249","3,890","3,149",720,"1,824",433,785,"1,339","61,805","24,456","13,495","10,961","6,600",720,752,"2,555","13,829","6,143","7,686","4,062","4,134","2,081","3,552",906,766,16,15,19,9,24,14,"4,484",
00200,            ,            ,  ,,23,,5211,米麦卸売業,"20,254","13,559","6,695","19,305","12,950","6,355","17,446","11,878","5,568","2,369",819,"14,258","9,509","4,749","8,111","2,833","1,398","1,916",441,221,132,35,132,30,43,71,"2,577","1,859","1,072",787,581,66,53,223,936,438,498,325,343,113,155,126,53,4,-,1,-,2,-,227,
00200,            ,            ,  ,,24,,5212,雑穀・豆類卸売業,"6,830","4,355","2,475","6,673","4,309","2,364","6,273","4,087","2,186",861,334,"5,078","3,226","1,852","2,940","1,133",286,719,46,63,68,18,44,1,18,53,777,400,222,178,127,11,14,50,198,81,117,62,73,19,44,7,13,1,1,-,-,-,-,52,
00200,            ,            ,  ,,25,,5213,野菜卸売業,"96,258","57,456","38,802","92,855","55,940","36,915","85,748","52,265","33,483","8,101","2,433","75,214","44,164","31,050","31,825","10,195","12,339","20,855","1,103","1,323",628,165,528,205,311,305,"22,852","7,107","3,675","3,432","1,766",199,212,693,"4,237","1,697","2,540","1,025","1,227",672,"1,313",197,218,5,3,7,4,3,-,"1,533",
00200,            ,            ,  ,,26,,5214,果実卸売業,"18,891","11,246","7,645","17,569","10,745","6,824","16,136","9,959","6,177","1,852",569,"13,715","8,107","5,608","6,259","2,210","1,848","3,398",362,627,82,44,85,32,40,77,"3,931","1,433",786,647,355,34,46,144,854,385,469,220,261,165,208,92,129,-,-,4,-,-,-,294,
00200,            ,            ,  ,,27,,5215,食肉卸売業,"57,716","36,442","21,274","56,481","36,034","20,447","51,040","33,067","17,973","4,449","1,665","44,926","28,618","16,308","22,916","6,487","5,702","9,821",660,581,"1,104",291,547,85,195,357,"11,713","5,441","2,967","2,474","1,522",172,168,621,"2,958","1,277","1,681",909,919,368,762,97,92,2,6,-,1,15,8,909,
00200,            ,            ,  ,,28,,5216,生鮮魚介卸売業,"86,832","60,484","26,348","84,295","59,214","25,081","77,823","55,411","22,412","9,031","2,854","65,938","46,380","19,558","36,460","10,013","9,920","9,545","1,341",784,766,105,255,39,151,352,"14,345","6,472","3,803","2,669","1,755",197,203,627,"3,690","1,845","1,845","1,280","1,062",565,783,285,194,4,4,5,4,3,3,"1,115",
00200,            ,            ,  ,,29,,5219,その他の農畜産物・水産物卸売業,"28,056","16,493","11,563","27,301","16,201","11,100","25,557","15,231","10,326","2,513",741,"22,303","12,718","9,585","10,158","4,391","2,560","5,194",296,291,369,62,233,41,27,124,"5,610","1,744",970,774,494,41,56,197,956,420,536,241,249,179,287,102,67,-,1,2,-,1,3,354,
